Страна,Год,Число студентов из РФ,Регион
Finland,2021,1996,Europe
Finland,2022,2039,Europe
Finland,2023,2026,Europe
Finland,2024,2066,Europe
France,2000,1453,Europe
France,2001,1658,Europe
France,2002,1924,Europe
France,2003,2537,Europe
France,2004,2597,Europe
France,2005,2672,Europe
France,2006,3083,Europe
France,2007,3219,Europe
France,2008,3347,Europe
France,2009,3593,Europe
France,2010,3822,Europe
France,2011,4193,Europe
France,2012,4300,Europe
France,2013,3643,Europe
France,2014,3599,Europe
France,2015,3648,Europe
France,2016,3555,Europe
France,2017,3691,Europe
France,2018,2945,Europe
France,2019,2785,Europe
France,2020,2751,Europe
France,2021,2752,Europe
France,2022,2685,Europe
France,2023,3001,Europe
France,2024,3159,Europe
United Kingdom,2000,1058,Europe
United Kingdom,2001,1370,Europe
United Kingdom,2002,1461,Europe
United Kingdom,2003,1601,Europe
United Kingdom,2004,1878,Europe
United Kingdom,2005,2027,Europe
United Kingdom,2006,2187,Europe
United Kingdom,2007,2580,Europe
United Kingdom,2008,2646,Europe
United Kingdom,2009,2953,Europe
United Kingdom,2010,3159,Europe
United Kingdom,2011,3303,Europe
United Kingdom,2012,3574,Europe
United Kingdom,2013,3604,Europe
United Kingdom,2014,3933,Europe
United Kingdom,2015,4092,Europe
United Kingdom,2016,3974,Europe
United Kingdom,2017,3920,Europe
United Kingdom,2018,3752,Europe
United Kingdom,2019,3640,Europe
United Kingdom,2020,3376,Europe
United Kingdom,2021,3357,Europe
United Kingdom,2022,3331,Europe
United Kingdom,2023,3028,Europe
Georgia,2000,0,Asia
Georgia,2001,0,Asia
Georgia,2002,0,Asia
Georgia,2003,0,Asia
Georgia,2004,3,Asia
Georgia,2005,3,Asia
Georgia,2006,16,Asia
Georgia,2007,28,Asia
Georgia,2008,37,Asia
Georgia,2009,84,Asia
Georgia,2010,77,Asia
Georgia,2011,337,Asia
Georgia,2012,125,Asia
Georgia,2013,167,Asia
Georgia,2015,157,Asia
Georgia,2016,254,Asia
Georgia,2017,248,Asia
Georgia,2018,257,Asia
Georgia,2019,306,Asia
Georgia,2020,312,Asia
Georgia,2021,367,Asia
Georgia,2022,323,Asia
Georgia,2023,460,Asia
Ghana,2012,0,Africa
Ghana,2013,0,Africa
Ghana,2014,0,Africa
Ghana,2015,2,Africa
Ghana,2016,0,Africa
Ghana,2017,1,Africa
Ghana,2018,0,Africa
Ghana,2019,0,Africa
Ghana,2020,0,Africa
Ghana,2021,0,Africa
Ghana,2022,0,Africa
Ghana,2023,1,Africa
Ghana,2024,0,Africa
Greece,2002,76,Europe
Greece,2003,101,Europe
Greece,2004,136,Europe
Greece,2005,151,Europe
Greece,2006,211,Europe
Greece,2007,299,Europe
Greece,2010,385,Europe
Greece,2011,433,Europe
Greece,2012,465,Europe
Greece,2016,547,Europe
Greece,2017,438,Europe
Greece,2018,464,Europe
Greece,2019,466,Europe
Greece,2020,405,Europe
Greece,2021,504,Europe
Greece,2022,620,Europe
